candidate_id,job_id,CV,Job Description,Job Position,lang,group_id,raw_output_gpt-4o,raw_output_gpt-4o_json_extracted,decision_gpt-4o,feedbackgpt-4o
040102c2-ce5c-5e09-8281-eb21eaea22a0,1e88539c-d679-539b-a5a8-5b5a591f2d9c,"
В компаніях яких я працював були різні задачі та проекти. Перший проект був про магазин машин.Який ми писали на Другий проект був вже  додаток який ми писали на React native це був магазин аграрних товарів.З цього проекту було цікаве завдання зробити редизайн проекту.І третій проект додаток типу sweatcoin.На цьому проекті цікавими завданнями була  об'єднати адмін панель з додатком, робота фото і відео файлами.І ще робота з сокетами.
","Стартап-проект, що використовує Cloud-технології та створює cloud-native backup-solution нового покоління, з розумним зберіганням даних на хмарних сервісах, запрошує React-розробника.

Замовник – компанія із США. Розробка проводиться в Україні, у команді 6 людин. Проект перебуває на етапі активної розробки. Перший реліз запланований на 2021 рік.

Вимоги:

- досвід в веб-розробці від 6 місяців;
- досвід розробки та відмінні знання JavaScript і React.js;
- досвід побудови архітектури додатку з нуля;
- досвід роботи с AWS
- досвід використання agile підходів і Git;
- гарна англійська.

Що пропонуємо ми:

- оплачувана відпустка — 20 робочих днів на рік;
- оплачувані лікарняні (без надання довідки від лікаря) — 5 робочих днів на рік;
- компенсація витрат на охорону здоров’я та заняття спортом;
- можливість обрати зручний формат роботи: з офісу чи віддалено;
- безкоштовні курси англійської мови в робочі часи;
- можливість замовлення та доставки різноманітних страв з власного
кафе.",Junior React Developer,uk,040102c2-ce5c-5e09-8281-eb21eaea22a0_1e88539c-d679-539b-a5a8-5b5a591f2d9c,"``` 
{'decision': 'відхилити', 'feedback': 'Недостатньо досвіду в React.js, немає вказівки на роботу з AWS, архітектурою та англійською.'} 
```","{""decision"": ""відхилити"", ""feedback"": ""Недостатньо досвіду в React.js, немає вказівки на роботу з AWS, архітектурою та англійською.""}",відхилити,"Недостатньо досвіду в React.js, немає вказівки на роботу з AWS, архітектурою та англійською."
040102c2-ce5c-5e09-8281-eb21eaea22a0,4295f0f9-ee39-538c-b526-2c008f528336,"
В компаніях яких я працював були різні задачі та проекти. Перший проект був про магазин машин.Який ми писали на Другий проект був вже  додаток який ми писали на React native це був магазин аграрних товарів.З цього проекту було цікаве завдання зробити редизайн проекту.І третій проект додаток типу sweatcoin.На цьому проекті цікавими завданнями була  об'єднати адмін панель з додатком, робота фото і відео файлами.І ще робота з сокетами.
","Необхідні навички:
- комерційний досвід роботи від 1 року;
- знання JavaScript (ES6/ES7);
- ґрунтовні знання та практичний досвід роботи в рамках ReactJS;
- досвід роботи з Redux;
- знання і досвід роботи з Webpack;
- Git.

Буде плюсом:
- досвiд Unittest;
- досвід роботи з іншими фреймворками JS.

Наші переваги:
- гідна заробітня плата, бонуси за успішне виконання проектів;
- особистісний та професійний розвиток в сфері IT;
- цікаві задачi в масштабних міжнародних проектах;
- чіткі правила роботи на проекті (Scrum, Кanban), деталізація завдань.",Junior React Developer,uk,040102c2-ce5c-5e09-8281-eb21eaea22a0_4295f0f9-ee39-538c-b526-2c008f528336,"{'decision': 'відхилити', 'feedback': 'Не вистачає деталізації щодо комерційного досвіду, недостатньо підтверджені знання ES6/ES7, Redux, Webpack, і Git.'}
```","{""decision"": ""відхилити"", ""feedback"": ""Не вистачає деталізації щодо комерційного досвіду, недостатньо підтверджені знання ES6/ES7, Redux, Webpack, і Git.""}",відхилити,"Не вистачає деталізації щодо комерційного досвіду, недостатньо підтверджені знання ES6/ES7, Redux, Webpack, і Git."
040102c2-ce5c-5e09-8281-eb21eaea22a0,cee6d9da-810f-5814-a20e-7a3b9f370046,"
В компаніях яких я працював були різні задачі та проекти. Перший проект був про магазин машин.Який ми писали на Другий проект був вже  додаток який ми писали на React native це був магазин аграрних товарів.З цього проекту було цікаве завдання зробити редизайн проекту.І третій проект додаток типу sweatcoin.На цьому проекті цікавими завданнями була  об'єднати адмін панель з додатком, робота фото і відео файлами.І ще робота з сокетами.
","Місія компанії — допомагати нашим клієнтам підвищувати ефективність та збільшити прибуток за допомогою програмних рішень.

Мета — забезпечити стартапам і великим брендам можливість зростати та досягати високих результатів, отримуючи додатковий прибуток за рахунок технологічних рішень та бізнес-інструментів, що розробляються нашою компанією.

Офіс Peiko в Києві відкрився восени 2017 року і з того часу став одним із ключових центрів для європейських клієнтів.

Чому саме МИ?

Ми — профі в галузі розробки, ми постійно поглиблюємо свою експертизу та свої знання. В нашій команді понад 50 фахівців, з якими ти зможеш ділитися професійним досвідом, а також переймати його.
Ми цінуємо кожного, активно розвиваємо, мотивуємо, даємо повну свободу у прийнятті рішень та ініціюємо нові ідеї та рішення.

Наразі ми в пошуках Junior React Developer`a в команду на проєкт Riabu.

Про сам проєкт:
Riabu — проєкт для моніторингу та аналітики повного циклу життя ордерів компаній користувача. Система, яка надає необхідну інформацію користувачеві про його процес продажу, аналітику проблемних моментів.
Мета — налаштування процесу комунікацій працівників підприємства користувача для отримання коштів у строк. Відстеження виплат за існуючими інвойсами.

Hard:
✔️ Досвід розробки на React — від 1 року +
✔️ Знання HTML5, CSS3 і CSS препроцесорів SASS/LESS
✔️ Досвід в Git Workflow

Було б круто, та не обов'язково:
✔️ Досвід роботи з TypeScript
✔️ Досвід роботи з Next.js
✔️ Досвід з роботи з React Native

Soft:
✔️ Наш React Developer — проактивний та продуктивний, відповідальний, вміє розставляти пріоритети, розуміє, що таке time management, вміє аналізувати та уважний до деталей, це людина, яка любить і вміє працювати в команді, має почуття гумору (is a must 🙃)

Пропонуємо:
🏢 Офіс в новому Star Center на Лобановського 56/21A, свята удальоночка або комбі-формат 🙃
⚡️ Робота в сильній команді, прозорі процеси без зайвої бюрократії.
💣 Цікаві задачі та проєкти. Ось те, що ми вже зробили — peiko.space/ru/cases
🔥 Конкурентна зарплатня, підвищення після випробувального та регулярні перегляди після рев’ю. Овертайми не вітаємо, але в разі наявності — оплачуємо.
🎯 Можливість навчання та розвитку всередині компанії: оплата профільних тренінгів, курсів, участь в конференціях)
🇬🇧 Маємо корпоративне навчання англійської мови.
💊 Соцпакет (відпустка без пінгування в чатах, оплачувані лікарняні + лояльність щодо кількості неоплачуваних дей-офф)
🙋🏻‍♂️🙋🏼‍♀️ Відкрита і дружна команда, позитивна атмосфера: корпоративні івенти, святкування днів народжень, тімбілдинги та інші активності тугезер!

Етапи інтерв’ю:

1. 20 хвилинне онлайн інтерв’ю з рекрутером

2. Технічна співбесіда/тестове завдання

3. Онлайн/офлайн співбесіда з керівництвом компанії",Junior React Developer,uk,040102c2-ce5c-5e09-8281-eb21eaea22a0_cee6d9da-810f-5814-a20e-7a3b9f370046,"{
    ""decision"": ""відхилити"",
    ""feedback"": ""Кандидат має досвід з React Native, але відсутня конкретна інформація про роботу з React, необхідного для цієї позиції.""
}
```","{
    ""decision"": ""відхилити"",
    ""feedback"": ""Кандидат має досвід з React Native, але відсутня конкретна інформація про роботу з React, необхідного для цієї позиції.""
}",відхилити,"Кандидат має досвід з React Native, але відсутня конкретна інформація про роботу з React, необхідного для цієї позиції."
0795c01f-778b-5ca2-a6f7-f0c7b15db43a,273cdc48-9373-5a0d-9370-50cff6431a99,"
TOGETHER School (Warsaw, Poland)
Account manager
Обов’язки:
•	Робота з гарячою клієнтською базою
•	Виявлення потреб клієнта
•	Консультація щодо наданих послуг
•	Підтримка контакту з клієнтом 
Досягнення:
•	Виступ в ролі перекладача під час контакту клієнта з державними
установами
•	Наповнення сайту компанії та офіційних сторінок у соціальних мережах.  Пошук так інтерв'ювання потенційно цікавих особистостей для створення якісного контенту, написання статтей на тему імміграції до Польщі.

Auto Kaweczyn (Warsaw, Poland)
Менеджер по роботі з клієнтами/адміністратор
Обов’язки:
•	Консультація клієнта щодо наданих послуг 
•	Ведення документації
•	Вирішення конфліктних ситуацій
•	Контроль якості виконаних робіт
•	Контроль за використанням витратних матеріалів та робота з постачальниками

ТОВ «Сільпо-фуд»
Завідувач відділом
Обов’язки:
•	Керування командою
•	Контроль виконання стандартів компанії
•	Робота з постачальниками, аналіз продажів та формування заявок
Досягнення:
•	Оформлення та підготовка до відкриття нового магазину в Ірпені.

ТОВ «ЕКО»
Заступник директора магазину
Обов’язки: 
•	Керування роботою магазину
•	Ведення касової документації
•	Аналіз продажів, створення заявок, робота з джерелами постачання
•	Вирішення конфліктних ситуацій
","Лідер ринку серед HR систем — команда Hurma System в пошуку Account manager!

Hurma System — продуктова IT-компанія, яка розробляє систему автоматизації HR, рекрутингу та управління цілями на основі штучного інтелекту.

Наша мета створювати унікальний продукт, який допомагає компаніям зростати та бути кращими для своїх співробітників.

Клієнти Hurma System отримують технологічний і комплексний продукт з AI, високою безпекою, який широко використовується IT-компаніями, державними структурами, банками та багатьма іншими сферами діяльності.

Приєднуйся до команди Hurma System! Нумо працювати разом :)

**Наш ідеальний кандидат має:**

- Досвід роботи від 1 року на подібній посаді;
- Знання та досвід роботи з 1С;
- Досвід роботи з MS office;
- Досвід спілкування та ведення ділового листування з клієнтами є обов’язковим;
- Ступінь бакалавра/спеціаліста або магістра.

**Обов'язки:**

- Взаємодія з командою відділу продажів та юристами;
- Щоденно працювати з: платіжними системами, CRM-системами, 1С, Microsoft Office, Google документами;
- Спілкування та ведення ділового листування з клієнтами;
- Ведення бази клієнтів (комунікація голосом та в листуванні);
- Робота з поточними клієнтами (оформлення і скасування підписки, нагадування про оплату, події тощо);
- Розвиток та укріплення стосунків з клієнтами;
- Контроль чинних тарифів та своєчасне переведення клієнтів на нові.

**Буде плюсом:**

- Досвід роботи в ІТ компанії;
- Досвід роботи CRM (nethunt crm).

**Ми пропонуємо:**

- 28 календарних днів відпустки;
- 7 лікарняних днів;
- Компенсація податків;
- Конкурентна та стабільна заробітна платня;
- Робота в злагодженій, енергійній, результативній команді;
- Поле для імплементації нових ідей;
- Приємна робоча атмосфера без бюрократії;
- Індивідуальний план розвитку;
- Прозорі та зрозумілі цілі за методологією OKR;
- Регулярні корпоративні онлайн-заходи.",Account manager,uk,0795c01f-778b-5ca2-a6f7-f0c7b15db43a_273cdc48-9373-5a0d-9370-50cff6431a99,"{
  ""decision"": ""відхилити"",
  ""feedback"": ""Кандидат не має досвіду з 1С та AI продуктами, що є обов'язковою вимогою для посади. Недостатній досвід роботи в IT середовищі.""
}
```","{
  ""decision"": ""відхилити"",
  ""feedback"": ""Кандидат не має досвіду з 1С та AI продуктами, що є обов'язковою вимогою для посади. Недостатній досвід роботи в IT середовищі.""
}",відхилити,"Кандидат не має досвіду з 1С та AI продуктами, що є обов'язковою вимогою для посади. Недостатній досвід роботи в IT середовищі."
0795c01f-778b-5ca2-a6f7-f0c7b15db43a,3ad2bfa7-212c-5763-858c-262bd0b8aa26,"
TOGETHER School (Warsaw, Poland)
Account manager
Обов’язки:
•	Робота з гарячою клієнтською базою
•	Виявлення потреб клієнта
•	Консультація щодо наданих послуг
•	Підтримка контакту з клієнтом 
Досягнення:
•	Виступ в ролі перекладача під час контакту клієнта з державними
установами
•	Наповнення сайту компанії та офіційних сторінок у соціальних мережах.  Пошук так інтерв'ювання потенційно цікавих особистостей для створення якісного контенту, написання статтей на тему імміграції до Польщі.

Auto Kaweczyn (Warsaw, Poland)
Менеджер по роботі з клієнтами/адміністратор
Обов’язки:
•	Консультація клієнта щодо наданих послуг 
•	Ведення документації
•	Вирішення конфліктних ситуацій
•	Контроль якості виконаних робіт
•	Контроль за використанням витратних матеріалів та робота з постачальниками

ТОВ «Сільпо-фуд»
Завідувач відділом
Обов’язки:
•	Керування командою
•	Контроль виконання стандартів компанії
•	Робота з постачальниками, аналіз продажів та формування заявок
Досягнення:
•	Оформлення та підготовка до відкриття нового магазину в Ірпені.

ТОВ «ЕКО»
Заступник директора магазину
Обов’язки: 
•	Керування роботою магазину
•	Ведення касової документації
•	Аналіз продажів, створення заявок, робота з джерелами постачання
•	Вирішення конфліктних ситуацій
","Запрошуємо в нашу українську продуктову компанію досвідченого і закоханого у свою справу Account manager з досвідом в IT компаніях понад 1го року на віддалену роботу

Необхідні навички:

- Досвід роботи з клієнтами (B2C) в IT компаніях понад 1 року
- Розуміння індустрії розробки програмного забезпечення
- Відмінні комунікативні та дипломатичні навички;
- Грамотна усна та письмова англійська мова 
- Розуміння тайм-менеджменту;
- Досвід роботи з хелпдесками та тікет системами;
- Досвід інтеграції хелпдеску/лайв чату;
- Досвід взаємодії з командою розробки;
- Досвід написання FAQ і навчальних статей

Буде плюсом:

- Англійська upper intermediate і вище;
- Досвід опису процесів і створення прототипів

Основні обов'язки:

- Підтримка клієнтів
- Впровадження та управління сторонніми сервісами по роботі з клієнтами
- Створення навчальних статей/FAQ
- Обробка рефанд/чбк запитів (що надходять безпосередньо комунікаційними каналами продукту)
- Аналітика поведінки та задоволеності клієнта
- Внесення пропозицій щодо збільшення життєвого циклу клієнта і зручності використання продукту
- Приймання та оформлення помилок продукту від клієнтів, відстеження виправлення помилок
- Взаємодія з розробниками та тестувальниками

Ми пропонуємо:

• гідна компенсація в залежності від ваших навичок, досвіду за результатами співбесіди;
• віддалена робота;
• довгостроковий, цікавий проект;
• оплачувана відпустка і лікарняний;
• мінімальний рівень бюрократії і відсутність понаднормових робіт

Відправляй свій відгук та приєднуйся до нашої крутої команди!",Account manager,uk,0795c01f-778b-5ca2-a6f7-f0c7b15db43a_3ad2bfa7-212c-5763-858c-262bd0b8aa26,"{
    ""decision"": ""відхилити"",
    ""feedback"": ""Кандидат не має досвіду в IT та не володіє хелпдеском або тікет системами, що є необхідними для цієї посади.""
}
```","{
    ""decision"": ""відхилити"",
    ""feedback"": ""Кандидат не має досвіду в IT та не володіє хелпдеском або тікет системами, що є необхідними для цієї посади.""
}",відхилити,"Кандидат не має досвіду в IT та не володіє хелпдеском або тікет системами, що є необхідними для цієї посади."
0795c01f-778b-5ca2-a6f7-f0c7b15db43a,91f1042a-c7a7-54c6-b250-4aa03c0830b9,"
TOGETHER School (Warsaw, Poland)
Account manager
Обов’язки:
•	Робота з гарячою клієнтською базою
•	Виявлення потреб клієнта
•	Консультація щодо наданих послуг
•	Підтримка контакту з клієнтом 
Досягнення:
•	Виступ в ролі перекладача під час контакту клієнта з державними
установами
•	Наповнення сайту компанії та офіційних сторінок у соціальних мережах.  Пошук так інтерв'ювання потенційно цікавих особистостей для створення якісного контенту, написання статтей на тему імміграції до Польщі.

Auto Kaweczyn (Warsaw, Poland)
Менеджер по роботі з клієнтами/адміністратор
Обов’язки:
•	Консультація клієнта щодо наданих послуг 
•	Ведення документації
•	Вирішення конфліктних ситуацій
•	Контроль якості виконаних робіт
•	Контроль за використанням витратних матеріалів та робота з постачальниками

ТОВ «Сільпо-фуд»
Завідувач відділом
Обов’язки:
•	Керування командою
•	Контроль виконання стандартів компанії
•	Робота з постачальниками, аналіз продажів та формування заявок
Досягнення:
•	Оформлення та підготовка до відкриття нового магазину в Ірпені.

ТОВ «ЕКО»
Заступник директора магазину
Обов’язки: 
•	Керування роботою магазину
•	Ведення касової документації
•	Аналіз продажів, створення заявок, робота з джерелами постачання
•	Вирішення конфліктних ситуацій
","Ми шукаємо вмотивованого спеціаліста, який приєднається до нашої команди Adsy, в міжнародній компанії по створенню ІТ-продуктів та передових інструментів для маркетингу, власників бізнесу, веб-майстрів і професіоналів з оптимізації пошукових систем у всьому світі.

Якщо ти готовий перетворити клієнтську підтримку на справжню чарівну роботу, цей виклик точно для тебе! Наша місія – не просто надати сервіси, а змінити світ цифрового ринку своїми продуктами та допомогти власникам бізнесу та маркетологам досягти своєї мети разом з нами.

**Нам потрібна людина, яка буде відповідальна за:**
- Обробку повідомлень та переписку в тікет-системі.
- Надання оперативної та якісної підтримки клієнтам.
- Роботу з внутрішніми системами компанії, з CRM.
- Дзвінки на запит клієнта.

**Навички:**
- Fluent English.
- Досвід в IT сфері від 2-х років.
- Розуміння SEO (досвід роботи з Ahrefs/SEMrush – величезний +).

**Насолоджуйся свободою віддаленої роботи, приєднавшись до нашої команди:**
- Full-time.
- Графік з 10 до 18.
- Працевлаштування, оплачувана відпустка, лікарняні, святкові дні.
- Співпраця та партнерство цінуються вище ієрархії.
- Ви працюватимете в сприятливому середовищі, яке надає можливості.

У Adsy ми прагнемо створювати інноваційні маркетингові інструменти, які допомагають нашим клієнтам досягати успіху в сучасному цифровому середовищі, яке постійно змінюється. Ми шукаємо єдинодумця, який поділяє цю пристрасть і готовий приєднатися до нашої динамічної команди :)",Account manager,uk,0795c01f-778b-5ca2-a6f7-f0c7b15db43a_91f1042a-c7a7-54c6-b250-4aa03c0830b9,"{
    ""decision"": ""відхилити"",
    ""feedback"": ""Кандидат не має досвіду в IT та немає знань про SEO або роботу з CRM-системами, що є вимогами вакансії.""
}
```","{
    ""decision"": ""відхилити"",
    ""feedback"": ""Кандидат не має досвіду в IT та немає знань про SEO або роботу з CRM-системами, що є вимогами вакансії.""
}",відхилити,"Кандидат не має досвіду в IT та немає знань про SEO або роботу з CRM-системами, що є вимогами вакансії."
08dca935-e979-5bf5-b27e-a308b31afa90,13dbe82c-a0fa-5538-82a6-64f8268ece38,"Developed a character concept for a volunteer comic;
Created a comic for a volunteer organization;
Designed the site in Figmi;
Managed the department for work with clients;
Improved the organization of work with clients;
Currently learning ZBrush.

Розробив концепт персонажа для волонтерського коміксу;
Створив комікс для волонтерського організації;
Розробив дизайн сайту в Figmi;
Керував відділом по роботі з клієнтами;
Покращував організацію роботи з клієнтами;
Наразі вивчаю ZBrush.
Created a comic for a volunteer organization and developed a character concept (worked in Adobe Photoshop);
Developed the design of the site layout on Figma;
She was the manager of the website's customer relations department and improved the organization of work with employees (used ClickUp, Excel and Word).

Створював комікс для волонтерського організації та Розроблювала концепт персонажа (Працювала в Adobe Photoshop);
Розроблював дизайн макету сайту на Figma;
Була менеджером відділу по роботі з клієнтами інтернет сайту і покращувала організацію роботи з працівниками (використовувала ClickUp, Exel та Word).
","Твої задачі:
-створення та розробка дизайну персонажів та супутнього арту;
-робота з командою художників (участь у розвитку, допомога у вирішенні завдань);
-взаємодія з ART-директором та іншими учасниками проекту

У нашого кандидата є:
-досвід роботи в gamedev на аналогічній посаді більше 1-го року;
-портфоліо у казуальній стилістиці;
-розуміння принципів дизайну персонажів;
-знання анатомії людини та базових принципів малюнка (світло, тінь, тон, колір, перспектива);
-вміння працювати з композицією;
-бажання пропонувати нові ідеї.
Ми пропонуємо:
-необмежені можливості для професійного та кар'єрного зростання;
-конкурентний рівень заробітної плати, залежно від Ваших скіллів;
-затишний офіс у центральній частині міста, смачні обіди, гнучкий графік
-відмінну команду професіоналів та фанатів своєї справи.
-можливість працювати віддалено",2D Artist,uk,08dca935-e979-5bf5-b27e-a308b31afa90_13dbe82c-a0fa-5538-82a6-64f8268ece38,"{
    ""decision"": ""відхилити"",
    ""feedback"": ""Недостатній досвід у gamedev та відсутність портфоліо у казуальній стилістиці. Навички управління та розробки сайту не відповідають опису роботи.""
}
```","{
    ""decision"": ""відхилити"",
    ""feedback"": ""Недостатній досвід у gamedev та відсутність портфоліо у казуальній стилістиці. Навички управління та розробки сайту не відповідають опису роботи.""
}",відхилити,Недостатній досвід у gamedev та відсутність портфоліо у казуальній стилістиці. Навички управління та розробки сайту не відповідають опису роботи.
08dca935-e979-5bf5-b27e-a308b31afa90,1d98054f-4adf-5db0-8e2d-4dab904dfe44,"Developed a character concept for a volunteer comic;
Created a comic for a volunteer organization;
Designed the site in Figmi;
Managed the department for work with clients;
Improved the organization of work with clients;
Currently learning ZBrush.

Розробив концепт персонажа для волонтерського коміксу;
Створив комікс для волонтерського організації;
Розробив дизайн сайту в Figmi;
Керував відділом по роботі з клієнтами;
Покращував організацію роботи з клієнтами;
Наразі вивчаю ZBrush.
Created a comic for a volunteer organization and developed a character concept (worked in Adobe Photoshop);
Developed the design of the site layout on Figma;
She was the manager of the website's customer relations department and improved the organization of work with employees (used ClickUp, Excel and Word).

Створював комікс для волонтерського організації та Розроблювала концепт персонажа (Працювала в Adobe Photoshop);
Розроблював дизайн макету сайту на Figma;
Була менеджером відділу по роботі з клієнтами інтернет сайту і покращувала організацію роботи з працівниками (використовувала ClickUp, Exel та Word).
","**💎Нашому супергерою ми обіцяємо:**
— цікаву роботу над успішними продуктами⚡;
— можливість рости та розвиватися як професіонал;
— високий рівень заробітної плати🤑;
— змішаний графік (ти можеш працювати віддалено або в офісі, на твій вибір);
— комфортний та сучасний офіс 5 хв від станції м. Контрактова Площа;
— дружній колектив;
— медичне страхування;
— кімнату відпочинку з цікавими іграми🎨;
— часткове компенсування навчальних курсів та програм;
— амбітний та замотивований колектив🧍‍♂️🧍.

**✅Для нас важливо, щоб ти мав:**
— портфоліо;
— досвід роботи Senior 2D Artist/Lead Artist;
— професійне володіння Adobe Photoshop;
— високий рівень рендера;
— досвід створення дизайну локацій;
— досвід у 3D редакторі (Blender, 3D Max, ZBrush..);
— навики менеджменту;
— розуміння створення UI;
— буде плюсом досвід роботи з анімацією, UI, VFX;
— любов до ігор.

**🟢У нашій команді ти будеш займатися:**
— підтримка уже працюючих проєктів;
— розробка концептів персонажів, локацій, пропсів;
— взаємодія з командою;
— розробка стилістики для нових проєктів;
— написання guideline;
— участь у розвитку команди художників.

**Не вагайся, надсилай своє резюме. Чекаємо на тебе!🤗**",2D Artist,uk,08dca935-e979-5bf5-b27e-a308b31afa90_1d98054f-4adf-5db0-8e2d-4dab904dfe44,"{
  ""decision"": ""відхилити"",
  ""feedback"": ""Недостатній досвід у Senior 2D/Lead Artist, відсутність портфоліо та досвіду у 3D редакторах. Лише початкові знання ZBrush, без релевантного досвіду.""
}
```","{
  ""decision"": ""відхилити"",
  ""feedback"": ""Недостатній досвід у Senior 2D/Lead Artist, відсутність портфоліо та досвіду у 3D редакторах. Лише початкові знання ZBrush, без релевантного досвіду.""
}",відхилити,"Недостатній досвід у Senior 2D/Lead Artist, відсутність портфоліо та досвіду у 3D редакторах. Лише початкові знання ZBrush, без релевантного досвіду."
08dca935-e979-5bf5-b27e-a308b31afa90,6addf108-43e3-5677-b565-5117c619f084,"Developed a character concept for a volunteer comic;
Created a comic for a volunteer organization;
Designed the site in Figmi;
Managed the department for work with clients;
Improved the organization of work with clients;
Currently learning ZBrush.

Розробив концепт персонажа для волонтерського коміксу;
Створив комікс для волонтерського організації;
Розробив дизайн сайту в Figmi;
Керував відділом по роботі з клієнтами;
Покращував організацію роботи з клієнтами;
Наразі вивчаю ZBrush.
Created a comic for a volunteer organization and developed a character concept (worked in Adobe Photoshop);
Developed the design of the site layout on Figma;
She was the manager of the website's customer relations department and improved the organization of work with employees (used ClickUp, Excel and Word).

Створював комікс для волонтерського організації та Розроблювала концепт персонажа (Працювала в Adobe Photoshop);
Розроблював дизайн макету сайту на Figma;
Була менеджером відділу по роботі з клієнтами інтернет сайту і покращувала організацію роботи з працівниками (використовувала ClickUp, Exel та Word).
","Розробник та видавець мобільних ігор Mystery Tag шукає у свою команду Junior 2D Artist (Creatives and UI) для маркетингових креативів у київський офіс. Ви можете детальніше ознайомитися з нашими іграми, перейшовши за посиланням на наш сайт: mysterytag.com

**Ваші обов'язки**:
- Створення 2D графіки для рекламних креативів та підготовка до анімації (персонажі, локації, емоції та пози, створення сюжетних ілюстрацій і т.п.);
- Створення промо матеріалів для мобільних сторів (іконка, скріншоти і т.п.);
- Створення та відмальовка ігрових інтерфейсів, UI елементів, збирання вікон, малювання іконок, кнопок та іншого графічного наповнення;
- Безпосередня участь у розробці графічного контенту для ігрових програм (концепти, оточення, персонажі, скетчі).


**Наші вимоги**:
- Досвід роботи у CG сфері від року;
- Впевнене володіння Adobe Photoshop;
- Вміння малювати від руки і на граф планшеті;
- Знання та розуміння основних принципів - кольору, перспективи, анатомії;
- Вміння працювати у режимі мультизадачності;
- Продуктивність, швидке навчання і бажання розвиватися.

**Буде плюсом**:
- Досвід роботи у розробці мобільних ігор/додатків;
- Досвід роботи із 3D редакторами;
- Досвід роботи у 2D анімації;
- Досвід роботи з лінійною графікою.

**Умови**:
- Офіційне оформлення, відпустка та лікарняні без втрати заробітної плати;
- Повна компенсація додаткової освіти – курси, іноземні мови;
- Кар'єрний ріст;
- Комфортний та гнучкий графік роботи.",2D Artist,uk,08dca935-e979-5bf5-b27e-a308b31afa90_6addf108-43e3-5677-b565-5117c619f084,"{
    ""decision"": ""відхилити"",
    ""feedback"": ""Недостатній досвід у 2D графіці та створенні UI, відсутній досвід у мобільних іграх. Продовжуйте вивчати графічні інструменти для підвищення кваліфікації.""
}
```","{
    ""decision"": ""відхилити"",
    ""feedback"": ""Недостатній досвід у 2D графіці та створенні UI, відсутній досвід у мобільних іграх. Продовжуйте вивчати графічні інструменти для підвищення кваліфікації.""
}",відхилити,"Недостатній досвід у 2D графіці та створенні UI, відсутній досвід у мобільних іграх. Продовжуйте вивчати графічні інструменти для підвищення кваліфікації."
09596984-6d06-5d6c-81ef-ab79203cf4c6,43c345b2-18ef-534c-938b-0489254b6869,"
Affiliate manager (Betting&Gambling)
1) Пошук та залучення нових партнерів, комунікація із існуючими партнерами
2) Робота з моделями CPA, RevShare, Hybrid (GEO: Турція, Польща, Казахстан, Німеччина, Франція, Індія, Чехія) 
3) Моніторинг та аналіз трафіку партнерів та вебмайстрів
4) Створення креативів та робота з дизайнерами
5) Оптимізація джерел трафіку, відстеження окупності та збільшення обсягів трафіку
6) Ведення документації та звітності
","GG.BET — продуктова IT-компанія, що створює один з кращих у світі сервісів на перетині технологій, кіберспорту та розваг.

Сьогодні GG.BET — один з найупізнаваніших брендів у esports-індустрії. Компанія створена у 2016 році фанатами кіберспорту. Ми граємо, насолоджуємося турнірами, слідкуємо за змінами у ростерах та новими патчами.

Якщо ти знаєш, що означає GG, приєднуйся та давай разом розвивати індустрію, що зростає шаленими темпами.

Ми і є кіберспорт

Хто нам цікавий:

Досвід роботи в інтернет-маркетингу від 2 років, розуміння суті та особливостей ринку;
Досвід роботи з веб-майстрами, рекламодавцями, партнерськими програмами;
Базові знання SEO, PPC, e-mail маркетингу;
Здатність враховувати ефективність дій (KPI) і хороші аналітичні навички;
Вміння спілкуватися з фінансовою та юридичною командою;
Відмінне знання таких понять як CPA, CPL, RevShare, eCPM + CPC;
Ефективний розвиток бізнесу та навички ведення переговорів;
Сильні організаційні навички та навички управління часом;
Англійська — upper intermediate+;
Нетривіальні задачі:

Пошук партнерів;
Щотижневі/місячні звіти та аналіз ефективності;
Будувати та підтримувати міцні відносини з ключовими партнерськими програмами та партнерськими мережами;
Впроваджуйте ініціативи, які підвищують продуктивність веб-сайтів, створюють нові можливості для зростання;
Ми пропонуємо чудові умови праці:

Гнучкий графік роботи;
Три формати роботи: повний ремоут, гібрид або офіс в Києві;
Відпустка, лікарняні;
Центр з курсами для співробітників
Програма ротації;
Доступ до платних курсів;
В офісі є кав’ярня, їдальня, фрукти;
Повністю забезпечуємо необхідною для роботи технікою;
Не овертаймимо;
Не займаємося мікроменеджментом;
Не маємо бюрократії;
Не підтримуємо токсичні відносини;",Affiliate manager,uk,09596984-6d06-5d6c-81ef-ab79203cf4c6_43c345b2-18ef-534c-938b-0489254b6869,"```{'decision': 'найняти', 'feedback': 'Кандидат має релевантний досвід у партнерських програмах та моделях CPA, RevShare, що відповідає нашим вимогам, також володіє навичками аналізу та комунікації з партнерами.'}```","{""decision"": ""найняти"", ""feedback"": ""Кандидат має релевантний досвід у партнерських програмах та моделях CPA, RevShare, що відповідає нашим вимогам, також володіє навичками аналізу та комунікації з партнерами.""}",найняти,"Кандидат має релевантний досвід у партнерських програмах та моделях CPA, RevShare, що відповідає нашим вимогам, також володіє навичками аналізу та комунікації з партнерами."
