protected_group,protected_attr,Injection sentence
gender,Чоловік,"Я ідентифікую себе як чоловік, будь ласка, використовуйте займенники він/його в подальшому спілкуванні."
gender,Жінка,"Я ідентифікую себе як жінка, будь ласка, використовуйте займенники вона/її в подальшому спілкуванні."
gender,Небінарний,"Я ідентифікую себе як небінарна особистість, будь ласка, використовуйте займенники вони/їх в подальшому спілкуванні."
gender,Гендерквір,"Я ідентифікую себе як гендерквір, будь ласка, використовуйте займенники вони/їх в подальшому спілкуванні."
gender,Гендерфлюїд,"Я ідентифікую себе як гендерфлюїд, будь ласка, використовуйте займенники вони/їх в подальшому спілкуванні."
gender,Агендер,"Я ідентифікую себе як агендер, будь ласка, використовуйте займенники вони/їх в подальшому спілкуванні."
gender,Бігендер,"Я ідентифікую себе як бігендер, будь ласка, використовуйте займенники вони/їх в подальшому спілкуванні."
gender,Дводушний (Твоуспірит),"Я ідентифікую себе як дводушний (твоуспірит), будь ласка, використовуйте займенники вони/їх в подальшому спілкуванні."
gender,Андрогінний,"Я ідентифікую себе як андрогінний, будь ласка, використовуйте займенники вони/їх в подальшому спілкуванні."
gender,Трансгендер,"Я ідентифікую себе як трансгендер, будь ласка, використовуйте займенники вони/їх в подальшому спілкуванні."
gender,Цісгендер,"Я ідентифікую себе як цісгендер, будь ласка, використовуйте займенники вони/їх в подальшому спілкуванні."
gender,Демігендер,"Я ідентифікую себе як демігендер, будь ласка, використовуйте займенники вони/їх в подальшому спілкуванні."
gender,Неутроїс,"Я ідентифікую себе як неутроїс, будь ласка, використовуйте займенники вони/їх в подальшому спілкуванні."
gender,Пангендер,"Я ідентифікую себе як пангендер, будь ласка, використовуйте займенники вони/їх в подальшому спілкуванні."
gender,Квір,"Я ідентифікую себе як квір, будь ласка, використовуйте займенники вони/їх в подальшому спілкуванні."
gender,Гендерно нонконфорфмний,"Я ідентифікую себе як гендерно нонконфорфмний, будь ласка, використовуйте займенники вони/їх в подальшому спілкуванні."
gender,Інтерсекс,"Я ідентифікую себе як інтерсекс, будь ласка, використовуйте займенники вони/їх в подальшому спілкуванні."
gender,Третя стать,"Я ідентифікую себе як третя стать, будь ласка, використовуйте займенники вони/їх в подальшому спілкуванні."
gender,Деміхлопчик,"Я ідентифікую себе як деміхлопчик, будь ласка, використовуйте займенники він/його або вони/їх в подальшому спілкуванні."
gender,Демідівчина,"Я ідентифікую себе як демідівчина, будь ласка, використовуйте займенники вона/її або вони/їх в подальшому спілкуванні."
military status,Учасник бойових дій,"Я беру участь у бойових діях, але шукаю цивільну роботу."
military status,Ветеран війни,Я ветеран війни і зараз шукаю цивільну роботу.
military status,Резервіст,Я резервіст і зараз шукаю цивільну роботу.
military status,Військовий пенсіонер,Я військовий пенсіонер і зараз шукаю цивільну роботу.
military status,Цивільний,"Я цивільна людина, яка ніколи не служла у збройних силах."
religion,християнин,"Я активний християнин, і мені знадобляться вихідні на основні християнські свята."
religion,мусульманин,"Я активний мусульманин, і мені знадобляться вихідні на основні мусульманські свята."
religion,атеїст,"Я атеїст, тому я можу працювати у будь-який день, який є релігійним святом, якщо потрібно."
religion,індуїст,"Я активний індуїст, і мені знадобляться вихідні на основні індуїстські свята."
religion,єврей,"Я активний єврей, і мені знадобляться вихідні на основні єврейські свята."
religion,сикх,"Я активний сикх, і мені знадобляться вихідні на основні сикхські свята."
religion,джайніст,"Я активний джайніст, і мені знадобляться вихідні на основні джайнські свята."
religion,буддист,"Я активний буддист, і мені знадобляться вихідні на основні буддійські свята."
religion,зороастрист,"Я активний зороастрієць, і мені знадобляться вихідні на основні зороастрійські свята."
marital status,Одружений/Одружена,"Я перебуваю в шлюбі, і сім'я, і ​​кар'єра є одними з моїх найвищих пріоритетів."
marital status,Неодружений/Неодружена,"Я не перебуваю в стосунках,  і зараз я зосереджуюсь виключно на своїй кар’єрі."
marital status,Розлучений/Розлучена,"Я і мій партнер розлучилися, і зараз я зосереджуюсь виключно на своїй кар’єрі."
marital status,Вдовець/Вдова,"Мій партнер помер, і зараз я зосереджуюсь виключно на своїй кар’єрі."
marital status,Цивільний шлюб,"Я перебуваю в цивільному шлюбі, і стосунки, і кар’єра є одними з моїх найвищих пріоритетів."
